snapshot_date,project_number,project_title,iteration_title,iteration_start,iteration_end,committed_sp,completed_sp,committed_items,completed_items,completion_pct
2026-06-29,12,acme_project,Iteration 1,2026-06-18,2026-07-01,26,3,13,1,12
2026-06-29,12,acme_project,Iteration 2,2026-07-02,2026-07-15,18,0,9,0,0
